Title,Description,Course_Link,Course_Rating,Rating_Number,Course_Completed_By,Instructor,Instructor_Link,Instructor_Rating,Rating_Out_Of,Learners_Age_Range,Learners_Per_Class,Course_Price
"Homeschool 8th Grade Full Curriculum: Individualized, STEM, and Project-Based","In this STEM Focused and Project Based ongoing course, students will learn Math skills, Language Arts, Reading Comprehension Skills, and make friends. 8th Grade creatively designed curriculum by Kind Academy©️",https://outschool.com/classes/homeschool-8th-grade-full-curriculum-individualized-stem-and-project-based-9VefMJ7r,5,2,21,Kind Academy-Online MicroSchool for Future Leaders,https://outschool.com/teachers/kindacademy,4.9,651,10-15,3-10,$60
Ongoing Fun in 2nd Grade Math,"In this ongoing class, learners will practice a new second grade math skill weekly #academic",https://outschool.com/classes/ongoing-fun-in-2nd-grade-math-gqDnXUze,4.9,19,295,"Greater Gains: Reading, Math, Writing, Spelling",https://outschool.com/teachers/Julie-Chamberlin-2019,4.9,676,6-9,3-9,$11
7th Grade Full Curriculum Math with a Licensed Teacher - (2 times per week),"In this ongoing class, students will learn seventh-grade math with games and an interactive classroom environment. Students will learn, laugh and grow their math skills with the support of a 14 year veteran math teacher.",https://outschool.com/classes/7th-grade-full-curriculum-math-with-a-licensed-teacher-2-times-per-week-ohxaQqG9,4.9,20,163,"Jennifer Boham, Licensed Math Teacher",https://outschool.com/teachers/Mrs-Boham,4.9,194,11-14,1-12,$40
Math Mysteries: A Math Enrichment Club,"Is math your super power? Do you love solving puzzles or conquering those pesky brain teasers? This is the enrichment class for you! Thirty minutes of puzzles, twisters, and perplexing teasers, all centered around the world of numbers. #academic",https://outschool.com/classes/math-mysteries-a-math-enrichment-club-x7HxROvu,5,73,520,Liz Malone,https://outschool.com/teachers/Liz-Malone,4.9,431,9-11,1-5,$10
Montessori Math Time: Place Value & Static Addition With the Stamp Game,"In this ongoing class, students will learn the principles of place value and static addition through Montessori math materials and hands on practice.",https://outschool.com/classes/montessori-math-time-place-value-static-addition-with-the-stamp-game-NEi06MNs,4.9,7,47,Kristi Leighton Montessori Certified Teacher,https://outschool.com/teachers/Kristi-202007,5,257,5-8,2-6,$5
Olympiad Math for Grade 5 - Grade 6 Students (Ongoing),Online Olympiad Math: students can learn problem-solving skills by using the basic of mathematics,https://outschool.com/classes/olympiad-math-for-grade-5-grade-6-students-ongoing-SxuewgR7,4.8,47,329,Paul Yiu,https://outschool.com/teachers/Paul-Yiu,4.8,318,10-12,4-11,$15
Mastering Math With Minecraft - The Complete Curriculum of Grade 5/ 6 Math,"Make the abstract concepts of Math concrete by building it in Minecraft! Students will build arrays, reinforce math skills, learn new concepts while having fun! ADHD, Dysgraphia and Dyslexia friendly class.",https://outschool.com/classes/mastering-math-with-minecraft-the-complete-curriculum-of-grade-5-6-math-pmbGrWxN,4.5,8,93,Sherri Colwell,https://outschool.com/teachers/Sherri-Colwell,4.8,547,8-13,2-10,$15
5-6 Competition Math: Advanced Middle School Problems from AMC 8 (Ongoing),"In this ongoing class, we will enhance students' logical problem-solving and techniques using AMC 8 problems. #academic",https://outschool.com/classes/5-6-competition-math-advanced-middle-school-problems-from-amc-8-ongoing-CV1OBeCB,5,23,191,Tampa Bay Test Prep,https://outschool.com/teachers/Tampa-Bay-Test-Prep,4.8,247,11-13,3-9,$22
Math in the Grocery Store: Grades 1-2 Consumer and Business Math,"Take on the role of both consumer and operator of a grocery store to learn 2D/3D shapes, money, tax, weight, perimeter, arrays, symmetry, patterns, tax, temperature, length/width, comparison of numbers, addition, subtraction, and more!",https://outschool.com/classes/math-in-the-grocery-store-grades-1-2-consumer-and-business-math-P376Sxwx,5,10,100,Stone Bridges Academy,https://outschool.com/teachers/Stone-Bridges-Academy,4.9,277,6-8,1-6,$10
Back to School: Multiplication Facts Game Time,In this ongoing class students will play games to increase their multiplication fact fluency.,https://outschool.com/classes/back-to-school-multiplication-facts-game-time-zqWo3h3D,5,1,8,Jennafer Tucker,https://outschool.com/teachers/Jennafer-Tucker-2023,5,3,7-10,2-6,$10
"Multiplication Tricks!: Learn 6,7,8,9,10 Times Table in Minutes Using Fingers.","In this one-time 40 minutes class, students will learn 6,7,8,9,10 Times Table in Minutes Using Fingers.",https://outschool.com/classes/multiplication-tricks-learn-678910-times-table-in-minutes-using-fingers-RNAZ46PR,4.6,84,755,Ms. Nen,https://outschool.com/teachers/Teacher-Nen,4.6,120,9-14,4-12,$40
8th Grade Pre-Algebra Math Skills Common Core Standards (Ongoing),"In 8th Grade Pre-Algebra Math Skills learners will increase and review their understanding of concepts commonly taught in grade eight math. Teacher Bob eighth grade math courses and tutoring are a great help to young learners, whether they are public, private, or home schooled.",https://outschool.com/classes/8th-grade-pre-algebra-math-skills-common-core-standards-ongoing-4d6SStii,5,5,77,"Robert Wyse (Certified Teacher) BEd, TEFL",https://outschool.com/teachers/Teacher-Bob,4.9,163,11-15,3-18,$14
Number Talks: Mental Math Strategies Grades 1 & 2,"In this class, students will learn mental math strategies to help them solve math questions. Mental math helps children understand math concepts better and provides them with the skills to answer questions more quickly.",https://outschool.com/classes/number-talks-mental-math-strategies-grades-1-2-FiG30Vdh,N/A,N/A,11,Ms Sue M. Ed. Special Education Specialist,https://outschool.com/teachers/Teacher-Sue-2022,5,74,6-8,3-6,$15
Multiplication Facts Fluency Rainbow Adventure,"In this ongoing course, students will practice their multiplication facts to build fact fluency while playing a game!",https://outschool.com/classes/multiplication-facts-fluency-rainbow-adventure-yI5e69BF,5,12,67,Kelsey G,https://outschool.com/teachers/Kelsey-G,5,216,8-10,3-4,$10
Explore Pokémon Types with Addition & Subtraction For Beginners!,"In this ongoing class, we will drill and practice our addition and subtraction while showing images (The Future) of the importance of math in everyday life.",https://outschool.com/classes/explore-pokmon-types-with-addition-subtraction-for-beginners-Oz9WlvpB,N/A,N/A,5,Joshua A,https://outschool.com/teachers/Joshua-Aiton-2020,5,202,6-8,1-6,$11
Multiplication for Beginners - Minecraft Multiplication!,"In this class students will learn the basic concept of multiplication by studying repeated addition. If your child loves Minecraft, drawing, and playing games they will enjoy this class. #academic",https://outschool.com/classes/multiplication-for-beginners-minecraft-multiplication-miKituw0,4.9,347,1775,Natalie Lipps,https://outschool.com/teachers/Natalie-Lipps,4.9,874,5-10,3-12,$16
Conquering 7th Grade Math (Full Course),"In this exciting ongoing course, students will master topics on a weekly basis found in the 7th grade common core math curriculum. This is a full year course (with holiday breaks), with practice and feedback.",https://outschool.com/classes/conquering-7th-grade-math-full-course-ssNQVPVA,5,13,121,Brian McNair,https://outschool.com/teachers/Brian-Mc-Nair,5,177,10-15,4-14,$35
Singapore Math 3rd Grade (3A),This course covers important concepts in 3rd grade and used in math league competitions. Over 200 problems are provided with detailed solutions to guide students to identify a promising approach and to execute the necessary math.,https://outschool.com/classes/singapore-math-3rd-grade-3a-GOeyz9ex,4.7,6,36,AI Code Academy,https://outschool.com/teachers/AI-Code-Academy,4.7,"1,516",7-9,3-8,$199
4th Grade Full Curriculum Math with a Licensed Teacher - (2 times per week),"In this ongoing class, students will learn fourth-grade math with games and an interactive classroom environment. Students will learn, laugh and grow their math skills with the support of a 14 year veteran math teacher.",https://outschool.com/classes/4th-grade-full-curriculum-math-with-a-licensed-teacher-2-times-per-week-IfTZyZs9,4.9,22,158,"Jennifer Boham, Licensed Math Teacher",https://outschool.com/teachers/Mrs-Boham,4.9,194,8-11,1-9,$40
2nd Grade Math Meeting (Small Group 1-4),Join us once a week to practice 2nd grade math skills!,https://outschool.com/classes/2nd-grade-math-meeting-small-group-1-4-LMggXt6y,5,1,7,June Roberts,https://outschool.com/teachers/June-2020,5,68,6-8,1-4,$15
Singapore Math 5th Grade (5A),"This course is designed based on Singapore math and Math League Contest Books for current and rising 5th grade to establish strong understanding of math concepts, learn to apply mathematics to solve real world problems",https://outschool.com/classes/singapore-math-5th-grade-5a-txZDwDFw,4.3,6,47,AI Code Academy,https://outschool.com/teachers/AI-Code-Academy,4.7,"1,516",9-11,3-8,$219
Singapore Math 6th Grade (6a) Algebra,"This course is designed based on Singapore math and MATHCOUNTS Contest for current and rising 6th grade to establish strong understanding of math concepts, learn to solve real world problems, and increase problem solving speed in Algebra.",https://outschool.com/classes/singapore-math-6th-grade-6a-algebra-4MYS1Hmh,4.8,12,91,AI Code Academy,https://outschool.com/teachers/AI-Code-Academy,4.7,"1,516",10-12,3-8,$219
Pre-Algebra Semester 1 - That Was Easy! (7th/8th Grade) With Certified Math Teacher,"In this semester class, students will learn the basics of algebra, integers, equations, rational numbers, inequalities, exponents and scientific notation.",https://outschool.com/classes/pre-algebra-semester-1-that-was-easy-7th8th-grade-with-certified-math-teacher-3ZJREg4l,5,8,79,Mrs. Meredith,https://outschool.com/teachers/Meredith-202010,5,122,10-15,3-14,$40
Mathsters Full Curriculum 3rd Grade Math Class w/a Certified Teacher (1X a Wk),"In this ongoing math class, students will learn concepts and skills from the standard 3rd grade math curriculum with a certified teacher through the use of a variety of interactive activities. #academic",https://outschool.com/classes/mathsters-full-curriculum-3rd-grade-math-class-wa-certified-teacher-1x-a-wk-ZnY5Pwfg,5,5,53,"Romie Foley, B.A.",https://outschool.com/teachers/RomieFoley,5,53,8-11,3-10,$18
The Art of Math Weekly Club,"In this weekly club, learners will explore the creative side of math by completing a different ""math-terpiece"" every week!",https://outschool.com/classes/the-art-of-math-weekly-club-0kBHJGjc,4.6,37,212,"Kristin Garn, B.A., B.Ed",https://outschool.com/teachers/Chris,4.8,"1,953",11-15,3-8,$12
Mathsters Full Curriculum 2nd Grade Math Class w/a Certified Teacher (2X a Wk),"In this ongoing math class, students will meet twice a week to learn concepts and skills from the standard 2nd grade math curriculum with a certified teacher using a variety of interactive activities. #academic",https://outschool.com/classes/mathsters-full-curriculum-2nd-grade-math-class-wa-certified-teacher-2x-a-wk-p7IwpzUw,5,3,24,"Romie Foley, B.A.",https://outschool.com/teachers/RomieFoley,5,53,7-10,3-10,$36
High School Geometry | Full Curriculum (2 Classes/Week),This is an ongoing full year course covering Geometry topics for learners in grades 8-10. This is an interactive class - students will participate in examples/activities and math games to help reinforce their learning while having fun!,https://outschool.com/classes/high-school-geometry-DIyDCnK4,5,10,91,Mind over Math - Tutoring and Group Classes,https://outschool.com/teachers/Mind-Over-Math,4.9,286,12-16,1-12,$36
Ongoing Addition and Subtraction with Regrouping: Come Practice with Friends!,"Practice second and third grade addition and subtraction with regrouping using two-digit and three-digit numbers up to 1,000. #academic",https://outschool.com/classes/ongoing-addition-and-subtraction-with-regrouping-come-practice-with-friends-x8gAkAyg,5,9,67,Erin Kathleen Howard,https://outschool.com/teachers/Erin-Kathleen-Howard,5,699,6-10,3-9,$16
Wild and Unstructured 3rd Grade Full Curriculum Ongoing,"This is a 3rd Grade full curriculum class covering concepts in Math, English, Science and Social studies. It is an ongoing class, which teaches an in-depth full year of 3rd Grade curriculum.",https://outschool.com/classes/wild-and-unstructured-3rd-grade-full-curriculum-ongoing-QMbqjKqv,4.6,11,112,Wild and Unstructured Learning,https://outschool.com/teachers/Ms-Tiara,4.8,812,7-9,2-8,$96
Math Mysteries Junior Detectives Club: A Math Enrichment Club for Young Math Enthusiasts,"Modeled after my most popular class for older learners, this weekly math enrichment club will challenge young math lovers to stretch their thinking as we explore a new series of math puzzles each week. Join us as we ""play"" with numbers! #academic",https://outschool.com/classes/math-mysteries-junior-detectives-club-a-math-enrichment-club-for-young-math-enth-ycv34gel,4.8,9,100,Liz Malone,https://outschool.com/teachers/Liz-Malone,4.9,431,6-8,1-5,$10
"Multiplication, Division, Decimals and Fraction Math Skills","In this course, students will go over multiplication and division strategies, adding, subtracting multiplying, and dividing decimals and fractions, and more!",https://outschool.com/classes/multiplication-division-decimals-and-fraction-math-skills-cJomXZY1,4.9,58,282,Lauren Schwartz,https://outschool.com/teachers/Lauren-Schwartz,4.9,158,9-13,2-10,$120
More Logic Puzzles! New Puzzles to Solve Every Week,"Together we will solve logic puzzles and various other brain teasers. This is a continuation of the class ""Logic Puzzles for Beginners"". I will provide new puzzles for us to solve in each class.",https://outschool.com/classes/more-logic-puzzles-new-puzzles-to-solve-every-week-soyZ5TX9,5,60,288,"Amanda Manzke, M.S. Ed.",https://outschool.com/teachers/Amanda-L-Manzke,4.9,541,8-11,1-4,$10
6th Grade Full Curriculum Math with a Licensed Teacher - (2 times per week),"In this ongoing class, students will learn sixth-grade math with games and an interactive classroom environment. Students will learn, laugh and grow their math skills with the support of a 14 year veteran math teacher.",https://outschool.com/classes/6th-grade-full-curriculum-math-with-a-licensed-teacher-2-times-per-week-qs7jcPX2,5,9,80,"Jennifer Boham, Licensed Math Teacher",https://outschool.com/teachers/Mrs-Boham,4.9,194,10-14,1-11,$40
1:1 Elementary Math Tutor with Miss Debbie,"Thirty minute 1:1 tutoring for students who need extra support in math, want to extend their math skills or need homework help. This class focuses on Kindergarten, first, second, third, fourth, fifth and sixth grade curriculum and standards.",https://outschool.com/classes/11-elementary-math-tutor-with-miss-debbie-nulpiP5N,5,33,152,Miss Debbie,https://outschool.com/teachers/Mrs-G-202011,5,108,6-11,1-2,$40
This is EPIC! | Pre-Calculus | Entire Course Group Class | For Students Looking,Spring 2023 classes are focused on prepping students for Pre-Calc final exams! One 50-minute session each week will strengthen your learner's Pre-Calculus skills as we walk through the entire course with teach to mastery.,https://outschool.com/classes/this-is-epic-pre-calculus-entire-course-group-class-twIlc0nM,5,1,38,Professor Kitty BS ChemE-UVa; MBA-Case Western,https://outschool.com/teachers/Professor-Kitty,5,369,14-18,3-12,$39
"Third and Fourth Grade Math in an Inclusive, Small Group Setting w/Kahoot","In this ongoing class, we will cover various 3rd and 4th grade math concepts such as multiplication and division, addition and subtraction, fractions, geometry, word problems, and much more.",https://outschool.com/classes/third-and-fourth-grade-math-in-an-inclusive-small-group-setting-wkahoot-1vxLkZOl,4.9,15,70,"April Moser, M.Ed.",https://outschool.com/teachers/April-Moser,4.9,87,8-10,4-9,$38
5th Grade Math Full Curriculum | Let's Have Fun With It!,"This is an ongoing class covering different 5th grade math topics each week in a fun and engaging way, finishing each class with a game of Blooket!",https://outschool.com/classes/5th-grade-math-full-curriculum-k4Miylwj,5,5,27,Mind over Math - Tutoring and Group Classes,https://outschool.com/teachers/Mind-Over-Math,4.9,286,8-12,1-8,$24
"Private Math Tutoring | 3rd-9th Grade, Pre Algebra, Algebra 1","In this weekly class, students will get support on homework topic(s) of their choice from a certified math teacher who can walk students through solving difficult problems step-by-step and empower students to complete similar problems. #confidence",https://outschool.com/classes/private-math-tutoring-IcmRjBcu,5,72,194,Ms. Phoenix (Math Tutoring),https://outschool.com/teachers/Ms-Phoenix,4.9,98,9-18,1,$45
Ready to Rock 3rd Grade - With Licensed Teacher: 1X/Week,"In this on-going course, students will strengthen their third-grade reading and math skills in a fun, motivating, interactive, and encouraging environment with a licensed elementary teacher!",https://outschool.com/classes/ready-to-rock-3rd-grade-with-licensed-teacher-1xweek-MV86taL5,5,1,3,"Kristen Easter, MT",https://outschool.com/teachers/Krist-En-Easter,5,64,7-10,3-6,$19
"8th Grade Full Curriculum English, Math and Spelling","This is an 8th Grade class covering concepts in Math, English, and Spelling. It is an ongoing class, which teaches an in-depth full year of 8th Grade curriculum.",https://outschool.com/classes/8th-grade-full-curriculum-english-math-and-spelling-eKHiTjTQ,5,5,105,Wild and Unstructured Learning,https://outschool.com/teachers/Ms-Tiara,4.8,812,12-14,2-11,$50
A 1st Grade Math Dinosaur Adventure: Ongoing Grade 1 Math Concepts,"In this 1x/week ongoing course, students will follow the Dinosaur Friends on an adventure while practicing addition, subtraction, skip counting, fractions, logic, equivalent equations, place value, bar graphs and more! #academic #1stgrade",https://outschool.com/classes/a-1st-grade-math-dinosaur-adventure-ongoing-grade-1-math-concepts-nWSJWTD6,4.9,93,800,The Dinosaur Friends Academy,https://outschool.com/teachers/The%20Dinosaur-Friends-Academy,4.8,253,4-8,2-7,$15
Patterns in Algebra: Critical Thinking Class,"In this small group Algebra prep course, students complete problem solving activities each week that will help them be more successful in Algebra. #academic",https://outschool.com/classes/patterns-in-algebra-critical-thinking-class-UcrhK4yb,5,8,66,Mrs. Kennedy (M.Ed.),https://outschool.com/teachers/Mary-Kennedy,5,104,11-14,1-3,$13
"5Th Grade Full Curriculum | Math, Reading, Spelling, Science, & Social Studies","In this 5th grade complete curriculum class, students will receive a full fifth grade experience through Science, Math, Social Studies, English, Writing, and Reading.",https://outschool.com/classes/5th-grade-full-curriculum-PBNp3o2J,N/A,N/A,8,Cherry Learning Center by Mrs. Berry-Cherry,https://outschool.com/teachers/Cherry-Learning-Center,4.7,338,9-12,5-10,$63
A Roblox-Themed Math Tutoring Session - Improve Your Math Skills,This class is designed for students who don't normally want to practice math. We'll use Roblox games to spark their interest and get them learning while having fun!,https://outschool.com/classes/a-roblox-themed-math-tutoring-session-improve-your-math-skills-07vwIyfD,5,1,23,Mz. Marianna's Tutoring for Math and Reading,https://outschool.com/teachers/Marianna-Vitale,4.7,289,7-12,2-5,$20
Critical Thinking Builder: Math Problem Solving & Puzzles,"Struggling math students will develop critical thinking and problem solving skills through various puzzles, brain teasers, and math challenges.",https://outschool.com/classes/critical-thinking-builder-math-problem-solving-puzzles-bGwj6OyS,4.9,23,95,Mrs. Kennedy (M.Ed.),https://outschool.com/teachers/Mary-Kennedy,5,104,12-15,1-5,$12
Refresher and Review of Single-Digit Long Division,"In this class, students will review how to divide long division problems step by step by a single number.",https://outschool.com/classes/refresher-and-review-of-single-digit-long-division-ExD5xnBO,4.7,75,364,Ms. Julie-(B.S./MA RDG/MATH/ESL/ACE),https://outschool.com/teachers/Ms-Julie,4.8,671,10-14,5-8,$25
Geometry Fundamentals (Ongoing),"In this ongoing class, learners will learn and review multiple geometry concepts. This class is designed for younger learners who are starting to learn basics about names of shapes, area, perimeter, volume, etc.",https://outschool.com/classes/geometry-fundamentals-ongoing-4Fyy4OLZ,4.7,7,32,Ms. Sarah,https://outschool.com/teachers/Sarah-Clancy,5,382,8-12,1-6,$12
"Third Grade, Fourth Grade, or Fifth Grade Math Class! (Individual Tutoring)","In this class, students will learn third grade, fourth grade, or fifth grade math skills!",https://outschool.com/classes/third-grade-fourth-grade-or-fifth-grade-math-class-individual-tutoring-Go6Y9Fvy,5,15,30,Ms. Natasha,https://outschool.com/teachers/MsNatasha,5,423,7-12,1-2,$11
Knock Your Socks Off 6th Grade Math,"In this ongoing 6th grade math class, the student will review the basic concepts for addition, subtraction, multiplication, division, order of operation, fractions, percentages, decimals, measurements, ratios, proportions, money, formulas, equations, and factoring.",https://outschool.com/classes/knock-your-socks-off-6th-grade-math-dsAcukJb,5,1,6,Mrs. Carol Jean McDonald,https://outschool.com/teachers/Carol-Jean-Mcdonald,4.6,61,9-14,1-16,$10
Full Year of 2nd Grade Singapore Math | the Path to Math Mastery (2x/Wk Ongoing),"In this class, learners will master math skill using the Singapore Math method. Learners will discuss and work on challenging problems with the teacher. They will be engaged in fun math games as well!",https://outschool.com/classes/full-year-of-2nd-grade-singapore-math-qIrzMJ9M,4.8,6,60,Mentorhood Mathematics,https://outschool.com/teachers/Mentorhood-Learning-Center,4.8,287,6-8,2-6,$40
Math Mysteries: 6th Grade Math With Math Mysteries!,"In this 30-40 minute class, students will solve math mysteries while learning 6th grade math concepts. Small groups(5 or less) and guided instruction makes for a successful class! Topics include decimals, fractions, percentage, area & rate",https://outschool.com/classes/math-mysteries-6th-grade-math-with-math-mysteries-cwJA2ruu,5,5,42,"Kim Pinard, M.A. Learning and Instruction",https://outschool.com/teachers/Kim-Pinard,5,13,9-12,1-5,$12
Dragon Club of Math! (ongoing),"We are a super high energy group of very excited Dragon Enthusiasts who love to create and design our own dragons, send them into battle against each other and create our own dragon games together!",https://outschool.com/classes/dragon-club-of-math-ongoing-5AEGagCc,5,21,96,"Kristin Garn, B.A., B.Ed",https://outschool.com/teachers/Chris,4.8,"1,953",11-16,4-8,$12
Math Skill Builders - Advanced (Ongoing),"In this ongoing class, learners will review a variety of topics and advanced skills related to multiplication, division, addition, subtraction, fractions, percent, decimals, basic geometry (shapes/angles), integers, order of operations etc.",https://outschool.com/classes/math-skill-builders-advanced-ongoing-ypighkGO,5,12,65,Ms. Sarah,https://outschool.com/teachers/Sarah-Clancy,5,382,9-13,1-8,$24
Algebra 1 | Full Curriculum (2 Classes/Week),This is an ongoing full year course covering Algebra 1 topics. This is a very interactive class - students will participate in activities and math games to help reinforce their learning while having fun!,https://outschool.com/classes/algebra-1-7mUpUZWb,5,10,78,Mind over Math - Tutoring and Group Classes,https://outschool.com/teachers/Mind-Over-Math,4.9,286,11-16,1-12,$36
Fact Families: Addition and Subtraction,"In this ongoing class, students will practice addition and subtraction, fact families.",https://outschool.com/classes/fact-families-addition-and-subtraction-8qVMjY9A,3.5,2,12,Ms. Julie-(B.S./MA RDG/MATH/ESL/ACE),https://outschool.com/teachers/Ms-Julie,4.8,671,5-10,5-8,$23
Algebra 1 Full Curriculum,"In this class students will learn Algebra 1 concepts, how to solve different questions and master full curriculum in engaging way. Best fit for homeschool & after-school students. Try First Week For 50% Off!",https://outschool.com/classes/algebra-1-full-curriculum-tcZ9taOE,4.4,5,72,Learnish,https://outschool.com/teachers/Learnish,4.6,767,11-16,2-8,$38
All About Fractions Odds and Ends,"In this ongoing course, students will review and practice simplifying, improper, and equivalent fractions, as well as multiples, factors, and much more.",https://outschool.com/classes/all-about-fractions-odds-and-ends-JKAJyvdw,5,1,13,Ms. Julie-(B.S./MA RDG/MATH/ESL/ACE),https://outschool.com/teachers/Ms-Julie,4.8,671,9-14,1-5,$25
Beginning Long Division and Practice Fun,"In this ongoing course, students will be introduced to long division with and without remainders.",https://outschool.com/classes/beginning-long-division-and-practice-fun-MzmqxR53,5,3,27,Ms. Julie-(B.S./MA RDG/MATH/ESL/ACE),https://outschool.com/teachers/Ms-Julie,4.8,671,7-12,5-8,$25
Math: 5th Grade Full Curriculum (Ongoing),"Students will learn, review and practice all crucial and required topics of the 5th grade math, including multiplication, division, place value, decimals, fraction operations, order of operations, numerical expressions and powers of 10.",https://outschool.com/classes/math-5th-grade-full-curriculum-ongoing-yo1yOEYy,5,2,56,Stone Bridges Academy,https://outschool.com/teachers/Stone-Bridges-Academy,4.9,277,9-12,1-6,$20
Full Fourth Grade Math Curriculum: Includes All Common Core Standards!,Each week learners will focus on another aspect of the 4th grade Common Core math curriculum.,https://outschool.com/classes/full-fourth-grade-math-curriculum-includes-all-common-core-standards-K02kMBxA,5,1,19,Seana Mohr,https://outschool.com/teachers/Ms-Seana,4.9,346,9-11,2-4,$14
Crunching Numbers: Guided Mental Math Talk (Addition & Subtraction; 2-Digits),"In this ongoing class, students will participate in a small group math talk. Students will practice using mental math strategies for adding and subtracting double-digit numbers. Students will also practice reasoning abstractly.",https://outschool.com/classes/crunching-numbers-guided-mental-math-talk-addition-subtraction-2-digits-onpcgtNI,5,6,46,"Katherine Jones, M.Ed.",https://outschool.com/teachers/Mrs-Jones,4.9,40,7-9,1-5,$9
Mastering Algebra 1 (Full Course),"In this exciting ongoing course, students will master topics on a weekly basis found in the Algebra 1 common core math curriculum. This is a full year course (with holiday breaks), with practice and feedback.",https://outschool.com/classes/mastering-algebra-1-full-course-bLoZ7K46,4.8,16,147,Brian McNair,https://outschool.com/teachers/Brian-Mc-Nair,5,177,11-16,4-13,$35
Elementary or Middle School Math Tutoring/Enrichment Ongoing 1:1 Class,Everyone can do well in math but sometimes it just takes a different approach. This tutoring session with Michaela Sellers will match your child's learning style to ensure success. #academic,https://outschool.com/classes/elementary-or-middle-school-math-tutoringenrichment-ongoing-11-class-g3PNQVQ8,5,14,57,"Michaela Sellers, M.Ed. - Math and Writing Coach",https://outschool.com/teachers/Michaela,4.9,"1,667",9-12,1,$45
"Kindergarten, 1st grade Math Class","Students will learn math vocabulary, number recognition, counting 1-120, skipping counting, decompose numbers, adding and subtraction skills Students will build their confidence in math daily to help them be more successful.",https://outschool.com/classes/kindergarten-1st-grade-math-class-xaO3DtM7,N/A,N/A,1,Teacher Kendra M.S. Elementary Education/ESL,https://outschool.com/teachers/Kendra-Marshall,4.9,17,5-8,3-8,$60
Math 6th Grade Full Curriculum: 2 Times per Week.,"In this ongoing class students will enjoy learning 6grade full year curriculum; Multiplication, Division, Decimals, Money, Measurement, Fractions, and Geometry.",https://outschool.com/classes/math-6th-grade-full-curriculum-2-times-per-week-69y5H6OB,5,1,10,USA's Prestige Worldwide Education,https://outschool.com/teachers/USAprestigeworldwide,4.9,82,11-13,1-6,$26
Full Year of 3rd Grade Singapore Math | the Path to Math Mastery (2x/Wk Ongoing),"In this class, learners will master math skill using the Singapore Math method. Learners will discuss and work on challenging problems with the teacher. They will be engaged in fun math games as well!",https://outschool.com/classes/full-year-of-3rd-grade-singapore-math-zdTE4iUi,4.9,7,72,Mentorhood Mathematics,https://outschool.com/teachers/Mentorhood-Learning-Center,4.8,287,7-9,2-6,$40
Maths Not Scary: Weekly Y2 Club (British Y2),Weekly Y2 Maths Club for those studying the British Y2 syllabus #academic,https://outschool.com/classes/maths-not-scary-weekly-y2-club-british-y2-qDHH6L2r,5,5,34,Alex Brown,https://outschool.com/teachers/Alexander-202008,4.8,60,6-8,3-6,$4
"Epic Weekly Builds in Minecraft Creative- Math, Geography & Architecture.","Build in Minecraft Creative mode. Learn about a new famous buildings or structure each week, by building it. Learn who built it, where is it in the world, and why did it get built. ( 6 months experience playing game suggested)",https://outschool.com/classes/epic-weekly-builds-in-minecraft-creative-math-geography-architecture-1x5biAKf,4.8,184,2005,Sherri Colwell,https://outschool.com/teachers/Sherri-Colwell,4.8,547,7-12,1-12,$16
Math Enrichment Challenges for Upper Elementary With Mrs. Whitten,This class is designed to provide fun and enriching challenges to scholars that love math and want to conquer math challenges with other like-minded scholars. Challenges range from academic boosts to fun brain games.,https://outschool.com/classes/math-enrichment-challenges-for-upper-elementary-with-mrs-whitten-0nJZN0XE,5,3,32,Stacey Whitten,https://outschool.com/teachers/Mrs-Whitten,5,393,9-11,3-10,$15
"⭐⭐⭐⭐⭐Full 2nd Grade Math Curriculum Taught by a Certified Teacher: Fun, Engagin","Would you like to join me for a 2nd grade math class? This ongoing class aims to improve students' skills in adding, subtracting, solving word problems, understanding place value, and learning simple multiplication facts per week. Our positive teaching approach creates confident learners, making it a great opportunity for homeschoolers to reinforce their math skills.",https://outschool.com/classes/full-2nd-grade-math-curriculum-taught-by-a-certified-teacher-fun-engagin-SRzxqA8r,5,5,64,"Jennifer Dyle, M. Ed (Certified K-8 Teacher)",https://outschool.com/teachers/Jennifer-Dyle,5,83,6-8,2-5,$12
Decimals: Division,"In this course, students will practice doing long division when there are decimals in either the answer, the dividend, the divisor, or both. #academic",https://outschool.com/classes/decimals-division-xOHohocX,4.9,13,50,Shay Conaty,https://outschool.com/teachers/Shay,4.9,397,10-12,2-3,$17
Daily Grade 7 and Grade 8 Math (Ongoing),We will covering the fundamentals of Grade 7 Math and/or Grade 7 and Grade 8,https://outschool.com/classes/daily-grade-7-and-grade-8-math-ongoing-tRM4d9pT,4,1,9,Ms. Leung,https://outschool.com/teachers/abc-efg,5,79,11-15,3-6,$80
Algebra 1 Ongoing with a Licensed Math Teacher,In depth Algebra 1 course that meets once per week,https://outschool.com/classes/algebra-1-ongoing-with-a-licensed-math-teacher-QhBPeBly,3.5,2,25,"Divya Chhabra B.A. Math, M.S. Ed.",https://outschool.com/teachers/Mrs-Chhabra,4.3,4,12-17,3-10,$20
