Title,Sub_Title,Rating,Review,Demand,Classes_taken,By_request,URL
Mentorhood Mathematics,"Mentorhood is a place for children to learn, understand and master Math; we guide with love and understanding as mentors since 2009. We specialized in teaching Singapore Math.",4.8,(287),Popular,Classes (17),By Request (26),https://outschool.com/teachers/Mentorhood-Learning-Center
Alex Brown,Experienced Math and Chemistry Tutor,4.8,(60),Nan,Classes (4),By Request (2),https://outschool.com/teachers/Alexander-202008
Sherri Colwell,"Minecraft teacher, Coding, Escape Rooms, Architecture",4.8,(547),Popular,Classes (7),By Request (7),https://outschool.com/teachers/Sherri-Colwell
Stacey Whitten,Certified teacher with a Masters in Elementary Education and 29 years of teaching experience,5.0,(393),Popular,Classes (9),By Request (3),https://outschool.com/teachers/Mrs-Whitten
"Jennifer Dyle, M. Ed (Certified K-8 Teacher)",Making Learning Fun and Meeting the Needs of ALL Children!,5.0,(83),Nan,Classes (4),By Request (16),https://outschool.com/teachers/Jennifer-Dyle
Shay Conaty,Experienced Teacher and Tutor!,4.9,(397),Star Educator,Classes (316),By Request (29),https://outschool.com/teachers/Shay
Ms. Leung,B.Ed (Certified Teacher),5.0,(79),Popular,Classes (7),By Request (14),https://outschool.com/teachers/abc-efg
Nan,Nan,Nan,Nan,Nan,Nan,Nan,https://outschool.com/teachers/Mrs-Chhabra
"Katherine Jones, M.Ed.",Growing and learning together!,4.9,(40),Nan,Classes (11),By Request (2),https://outschool.com/teachers/Mrs-Jones
June Roberts,Mrs. Roberts- Certified Teacher,5.0,(68),Star Educator,Classes (2),By Request (4),https://outschool.com/teachers/June-2020
Wild and Unstructured Learning,"We work hard to instill a love of learning. Growing minds, Freeing spirits!",4.8,(812),Popular,Classes (218),By Request (76),https://outschool.com/teachers/Ms-Tiara
Ashley Krause,Educator,4.9,(72),Nan,Classes (2),By Request (1),https://outschool.com/teachers/Ashley-202005
Professor Kitty BS ChemE-UVa; MBA-Case Western,"High energy STEM, math, & business teaching! Goto bit.ly/kittymath2023 to get links to all of my Outschool listing! ""My Freshman daughter came downstairs after class and told me she was glad she was taking this class."" -personal testimonies always make the best headlines!",5.0,(369),Popular,Classes (17),By Request (42),https://outschool.com/teachers/Professor-Kitty
"Mr. Jonathan Mullins, M.Ed, Certified Math Teacher","Alg 1, Geometry, Alg 2, and Pre-Cal Teacher for 16 years, Certified Secondary Math Teacher",5.0,(61),Popular,Classes (0),By Request (0),https://outschool.com/teachers/Mr-M-2022
"Teacher Heidi - BSc., PGCE",UK Primary School Teacher,5.0,(19),Nan,Classes (3),By Request (2),https://outschool.com/teachers/Heidi-Evans
Mentorhood Mathematics,"Mentorhood is a place for children to learn, understand and master Math; we guide with love and understanding as mentors since 2009. We specialized in teaching Singapore Math.",4.8,(287),Popular,Classes (17),By Request (26),https://outschool.com/teachers/Mentorhood-Learning-Center
"Dr. Matthew Sullivan, PhD. Mathematics","PhD in Mathematics University of Waterloo, M. Math University of Waterloo, BSc. Memorial University of Newfoundland",5.0,(44),Star Educator,Classes (0),By Request (0),https://outschool.com/teachers/Dr-Sullivan
"Michael Barr, M.Ed",M.Ed,5.0,(281),Nan,Classes (0),By Request (3),https://outschool.com/teachers/Michael-Barr
Kelly McGrath,Premier Homeschool Consultants,4.9,(802),Popular,Classes (14),By Request (16),https://outschool.com/teachers/Kelly-Mc-Grath
Tampa Bay Test Prep,Math specialists in helping student catch up and excel - teaching foundational and competition math from patient and caring instructors! Course Catalog: http://bit.ly/3S5jYeB,4.8,(247),Popular,Classes (16),By Request (13),https://outschool.com/teachers/Tampa-Bay-Test-Prep
Mrs. LaShana,Math and Preschool Teacher,4.9,(84),Nan,Classes (4),By Request (13),https://outschool.com/teachers/Teacher-La-Shana
Tara Laczynski B.Ed,Certified Elementary Math Teacher,5.0,(264),Star Educator,Classes (6),By Request (16),https://outschool.com/teachers/Tara-Laczynski
"Karen Diaz, M.S.Ed",New York State Certified Teacher/ Math Teacher/ Reading Specialist/ Certified in Special Education and General Education,4.9,(144),Popular,Classes (7),By Request (13),https://outschool.com/teachers/Karen-Mc-Gougain-Diaz
Mentorhood Mathematics,"Mentorhood is a place for children to learn, understand and master Math; we guide with love and understanding as mentors since 2009. We specialized in teaching Singapore Math.",4.8,(287),Popular,Classes (17),By Request (26),https://outschool.com/teachers/Mentorhood-Learning-Center
"BIlly Edward Bush B.A, M.Ed, Ed.D",A+ Plus Teacher Brings Positive Energy To The Classroom,4.8,(454),Nan,Classes (0),By Request (12),https://outschool.com/teachers/B-Illy-Edward-Bush
"Sharon Gribble, MEd","Licensed, experienced, energetic science, reading, math & ESL teacher with a passion for creating fun, educational escape rooms.",4.9,(489),Nan,Classes (46),By Request (18),https://outschool.com/teachers/Teacher_Sharon
Christine Bowman,Building foundational skills and creating positive mindsets in mathematics.,4.8,(214),Rising Star,Classes (4),By Request (0),https://outschool.com/teachers/Christine-Bowman
Kaitlyn - Licensed Elementary Education Teacher,Elementary and Early Childhood Teacher | Engaging Literacy and Math Classes and Tutoring,5.0,(26),Nan,Classes (3),By Request (22),https://outschool.com/teachers/Ms-Kaitlyn-202109
"Sharon Gribble, MEd","Licensed, experienced, energetic science, reading, math & ESL teacher with a passion for creating fun, educational escape rooms.",4.9,(489),Nan,Classes (46),By Request (18),https://outschool.com/teachers/Teacher_Sharon
Joshua A,Pokémon Go & Cards,5.0,(202),Popular,Classes (5),By Request (12),https://outschool.com/teachers/Joshua-Aiton-2020
Math Planets,A personalized 1-on-1 math program for kids who want to improve their math confidence the fun way.,4.8,(128),Popular,Classes (7),By Request (49),https://outschool.com/teachers/MathPlanets
Stone Bridges Academy,Learning something new everyday!- Misses Dee,4.9,(276),Popular,Classes (58),By Request (115),https://outschool.com/teachers/Stone-Bridges-Academy
Kelly Cottrell,Licensed Teacher,5.0,(166),Nan,Classes (12),By Request (8),https://outschool.com/teachers/Kelly-Cottrell
Stone Bridges Academy,Learning something new everyday!- Misses Dee,4.9,(276),Popular,Classes (58),By Request (115),https://outschool.com/teachers/Stone-Bridges-Academy
"Miss Delicia, B.S. Psychology","Lover of Personal Development, Cats, Books & Coffee, and self-proclaimed Jeopardy Queen 👑",4.9,(870),Nan,Classes (15),By Request (9),https://outschool.com/teachers/Delicia-G
Liz Malone,Former Elementary Teacher with a Passion for Making a Difference in the Lives of Kids,4.9,(431),Nan,Classes (4),By Request (29),https://outschool.com/teachers/Liz-Malone
Professor Kitty BS ChemE-UVa; MBA-Case Western,"High energy STEM, math, & business teaching! Goto bit.ly/kittymath2023 to get links to all of my Outschool listing! ""My Freshman daughter came downstairs after class and told me she was glad she was taking this class."" -personal testimonies always make the best headlines!",5.0,(369),Popular,Classes (17),By Request (42),https://outschool.com/teachers/Professor-Kitty
Tara Laczynski B.Ed,Certified Elementary Math Teacher,5.0,(264),Star Educator,Classes (6),By Request (16),https://outschool.com/teachers/Tara-Laczynski
Nan,Nan,Nan,Nan,Nan,Nan,Nan,https://outschool.com/teachers/EinsteinsSquare
Kate Hoefert,Experienced teacher making math less scary since 2002,4.9,(351),Nan,Classes (8),By Request (49),https://outschool.com/teachers/Kate-Hoefert
USA's Prestige Worldwide Education,"We are a group of passionate teachers with not only love, but expertise!",4.9,(82),Popular,Classes (58),By Request (78),https://outschool.com/teachers/USAprestigeworldwide
Mr Lloyd,"Mathematics teacher, age 7 - 18, including GCSE, A Level, IBDP (SL&HL)",5.0,(55),Nan,Classes (2),By Request (4),https://outschool.com/teachers/Doug-Lloyd
"Sharon Gribble, MEd","Licensed, experienced, energetic science, reading, math & ESL teacher with a passion for creating fun, educational escape rooms.",4.9,(489),Nan,Classes (46),By Request (18),https://outschool.com/teachers/Teacher_Sharon
Stone Bridges Academy,Learning something new everyday!- Misses Dee,4.9,(276),Popular,Classes (58),By Request (115),https://outschool.com/teachers/Stone-Bridges-Academy
"Daniel W Zachary, BSE",Creative Learning with Smiles and Laughter,5.0,(258),Popular,Classes (3),By Request (5),https://outschool.com/teachers/Daniel-W-Zachary
Wayne Anderson,"Math, Science and Music - exciting classes here!",5.0,(74),Nan,Classes (0),By Request (0),https://outschool.com/teachers/Wayne-Anderson
Erin Kathleen Howard,Have fun while learning math with me!,5.0,(699),Star Educator,Classes (19),By Request (25),https://outschool.com/teachers/Erin-Kathleen-Howard
Hugs & Kisses Online Homeschool Academy,We offer Classes and Tutoring for All,5.0,(2),Nan,Classes (32),By Request (15),https://outschool.com/teachers/hugsandkissesacademy
"Miss Brittany, M.S.Ed",Early Learning Facilitator,5.0,(100),Star Educator,Classes (20),By Request (0),https://outschool.com/teachers/Miss-Brittany-20210624
Brian McNair,Math Teacher,5.0,(177),Popular,Classes (1),By Request (11),https://outschool.com/teachers/Brian-Mc-Nair
Wai Choi,A Fun Loving and Passionate Math Teacher,5.0,(100),Nan,Classes (133),By Request (96),https://outschool.com/teachers/Wai-Choi
Ashley Krause,Educator,4.9,(72),Nan,Classes (2),By Request (1),https://outschool.com/teachers/Ashley-202005
Click Tutoring and Learning,"Engaging learners to build knowledge, think critically, make mistakes and feel great!",4.8,(47),Nan,Classes (5),By Request (11),https://outschool.com/teachers/Click-Tutoring-and-Learning
Michelle “Nonna” Lagares,Former Elementary Teacher and History Lover,4.8,(29),Nan,Classes (4),By Request (16),https://outschool.com/teachers/Michelle-Lagares
Mr Lloyd,"Mathematics teacher, age 7 - 18, including GCSE, A Level, IBDP (SL&HL)",5.0,(55),Nan,Classes (2),By Request (4),https://outschool.com/teachers/Doug-Lloyd
Mentorhood Mathematics,"Mentorhood is a place for children to learn, understand and master Math; we guide with love and understanding as mentors since 2009. We specialized in teaching Singapore Math.",4.8,(287),Popular,Classes (17),By Request (26),https://outschool.com/teachers/Mentorhood-Learning-Center
"Robin Jarred, M.ED","“You can teach a student a lesson for a day; but if you can teach him to learn by creating curiosity, he will continue the learning process as long as he lives.” Clay P. Bedford",4.9,(83),Nan,Classes (3),By Request (9),https://outschool.com/teachers/Robin-Jarred
Nan,Nan,Nan,Nan,Nan,Nan,Nan,https://outschool.com/teachers/Ms-Julie
StudentScholars,"Develop Skills, Knowledge & Talents!",3.9,(73),Popular,Classes (9),By Request (0),https://outschool.com/teachers/studentscholars
"Jamie Jones, MSA",Teacher Jamie,4.9,"(2,072)",Star Educator,Classes (16),By Request (27),https://outschool.com/teachers/Jamie-Guthrie-Jones
"Amy Tucker, M.Ed.",A Montessori math teacher who believes hands-on learning should delight and inspire,5.0,(92),Popular,Classes (6),By Request (7),https://outschool.com/teachers/Amy-20200617
Stone Bridges Academy,Learning something new everyday!- Misses Dee,4.9,(276),Popular,Classes (58),By Request (115),https://outschool.com/teachers/Stone-Bridges-Academy
Mrs. Wilkerson (B.S.Ed) Math & Reading Teacher,"Licensed K-6 Educator focused on Collaboration, Student Voice, and Equity, 15+ years of experience",4.9,(147),Popular,Classes (6),By Request (9),https://outschool.com/teachers/Mrs-Wilkerson
Learnish,Empowering Young Brains,4.6,(767),Popular,Classes (25),By Request (37),https://outschool.com/teachers/Learnish
Gail Dykhuis,Math Tutor,4.9,(256),Nan,Classes (5),By Request (3),https://outschool.com/teachers/Gail-Dykhuis
Maria Rebecca Gloria,Math Teacher,4.9,"(1,258)",Popular,Classes (3),By Request (12),https://outschool.com/teachers/Maria-Rebecca-Gloria
Ms. Jericha's Mathprov Academy,Where calculation meets creativity,4.9,(197),Popular,Classes (6),By Request (7),https://outschool.com/teachers/Jericha-Roberson
"Jamie Jones, MSA",Teacher Jamie,4.9,"(2,072)",Star Educator,Classes (16),By Request (27),https://outschool.com/teachers/Jamie-Guthrie-Jones
AI Code Academy,STEM Coding and Artificial Intelligence (AI) Programs,4.7,"(1,516)",Popular,Classes (54),By Request (5),https://outschool.com/teachers/AI-Code-Academy
Math Planets,A personalized 1-on-1 math program for kids who want to improve their math confidence the fun way.,4.8,(128),Popular,Classes (7),By Request (49),https://outschool.com/teachers/MathPlanets
Tricia Kruse,Passionate Math Teacher,5.0,(73),Rising Star,Classes (1),By Request (11),https://outschool.com/teachers/Patricia-Kruse
Nan,Nan,Nan,Nan,Nan,Nan,Nan,https://outschool.com/teachers/Ms-Julie
"Amber Coffman, Certified Teacher","Teachers who love teaching, teach children to love learning!",5.0,(225),Nan,Classes (7),By Request (10),https://outschool.com/teachers/Amber-Coffman-2020
Wild and Unstructured Learning,"We work hard to instill a love of learning. Growing minds, Freeing spirits!",4.8,(812),Popular,Classes (218),By Request (76),https://outschool.com/teachers/Ms-Tiara
The Dinosaur Friends Academy,Dinosaur Math!,4.8,(253),Nan,Classes (4),By Request (4),https://outschool.com/teachers/The%20Dinosaur-Friends-Academy
Katie deFur Fallon,Home-school teacher,4.8,(656),Popular,Classes (73),By Request (29),https://outschool.com/teachers/Katie-deFur
David Miller,Teacher,4.6,"(1,008)",Nan,Classes (4),By Request (24),https://outschool.com/teachers/David-Matthew-Miller
"Romie Foley, B.A.",Certified Elementary Educator since 2008,5.0,(53),Star Educator,Classes (12),By Request (6),https://outschool.com/teachers/RomieFoley
Nan,Nan,Nan,Nan,Nan,Nan,Nan,https://outschool.com/teachers/Ms-Julie
Megan McAra (M. Ed) Math Class Can Be Fun!,Cultivating the language of math inside us all!,5.0,(86),Nan,Classes (5),By Request (32),https://outschool.com/teachers/Megan-Mc
Learnish,Empowering Young Brains,4.6,(767),Popular,Classes (25),By Request (37),https://outschool.com/teachers/Learnish
USA's Prestige Worldwide Education,"We are a group of passionate teachers with not only love, but expertise!",4.9,(82),Popular,Classes (58),By Request (78),https://outschool.com/teachers/USAprestigeworldwide
USA's Prestige Worldwide Education,"We are a group of passionate teachers with not only love, but expertise!",4.9,(82),Popular,Classes (58),By Request (78),https://outschool.com/teachers/USAprestigeworldwide
Jessica Perez (she/her),"Certified Spanish, Math, ESL teacher",4.9,(203),Nan,Classes (3),By Request (11),https://outschool.com/teachers/Jessica-Perez
"Katie Shipman - BA, Elementary Education Certified",Bachelor of Arts in Elementary Education - Certified Teacher,5.0,(1),New on Outschool,Classes (2),By Request (0),https://outschool.com/teachers/Mrs-Shipman
Fabiola Woerner M.A. TESOL The Bilingual Educator,The Bilingual Educator - Providing Classes to Support Your Learner's Journey to Become Bilingual!,5.0,(107),Nan,Classes (21),By Request (27),https://outschool.com/teachers/Fabiola-Woerner
"Cameron Weaver, B.S. Math","Pre-Algebra, Algebra 1, & Real Estate Professional",4.9,(146),Popular,Classes (3),By Request (3),https://outschool.com/teachers/Cameron-Weaver
Heather Krey,"High School Math Teacher, SAT/ACT Expert",4.8,(85),Nan,Classes (4),By Request (4),https://outschool.com/teachers/Heather-Krey
"Kim Pinard, M.A. Learning and Instruction",General Education and Special Education Instructor,5.0,(13),Star Educator,Classes (3),By Request (4),https://outschool.com/teachers/Kim-Pinard
Shay Conaty,Experienced Teacher and Tutor!,4.9,(397),Star Educator,Classes (316),By Request (29),https://outschool.com/teachers/Shay
StudentScholars,"Develop Skills, Knowledge & Talents!",3.9,(73),Popular,Classes (9),By Request (0),https://outschool.com/teachers/studentscholars
Kate Hoefert,Experienced teacher making math less scary since 2002,4.9,(351),Nan,Classes (8),By Request (49),https://outschool.com/teachers/Kate-Hoefert
USA's Prestige Worldwide Education,"We are a group of passionate teachers with not only love, but expertise!",4.9,(82),Popular,Classes (58),By Request (78),https://outschool.com/teachers/USAprestigeworldwide
"Sharon Gribble, MEd","Licensed, experienced, energetic science, reading, math & ESL teacher with a passion for creating fun, educational escape rooms.",4.9,(489),Nan,Classes (46),By Request (18),https://outschool.com/teachers/Teacher_Sharon
Mrs. Chris of Kingdom Prep Educators,Former Private School Teacher turned Home Educator,5.0,(69),Nan,Classes (4),By Request (55),https://outschool.com/teachers/Mrs-Chris
Ms. Julie-(B.S./MA RDG/MATH/ESL/ACE),"Passionate Elementary, Middle and High School Teacher",4.8,(671),Rising Star,Classes (62),By Request (171),https://outschool.com/teachers/Ms-Julie
Shay Conaty,Experienced Teacher and Tutor!,4.9,(397),Star Educator,Classes (316),By Request (29),https://outschool.com/teachers/Shay
Mind over Math - Tutoring and Group Classes,The tools to help your learner succeed!,4.9,(286),Popular,Classes (18),By Request (44),https://outschool.com/teachers/Mind-Over-Math
Ms. Julie-(B.S./MA RDG/MATH/ESL/ACE),"Passionate Elementary, Middle and High School Teacher",4.8,(671),Rising Star,Classes (62),By Request (171),https://outschool.com/teachers/Ms-Julie
Cherry Learning Center by Mrs. Berry-Cherry,Mrs. Berry-Cherry,4.7,(338),Popular,Classes (20),By Request (75),https://outschool.com/teachers/Cherry-Learning-Center
Cass Academy of Mastery,Accelerating the Education of Young Learners | Bringing Fun and Games to Academics,4.9,(241),Popular,Classes (27),By Request (26),https://outschool.com/teachers/CassAcademy
Dazzling Minds Academy By Erika Corona,"Escape Rooms, Fun Math, Roblox, Coding & More",4.7,"(1,198)",Popular,Classes (30),By Request (114),https://outschool.com/teachers/Erika-Corona
Nan,Nan,4.9,(397),Star Educator,Classes (316),By Request (29),https://outschool.com/teachers/Shay
Ms. Julie-(B.S./MA RDG/MATH/ESL/ACE),"Passionate Elementary, Middle and High School Teacher",4.8,(671),Rising Star,Classes (62),By Request (171),https://outschool.com/teachers/Ms-Julie
Gail Dykhuis,Math Tutor,4.9,(256),Nan,Classes (5),By Request (3),https://outschool.com/teachers/Gail-Dykhuis
Nan,Experienced Teacher and Tutor!,4.9,(397),Star Educator,Classes (316),By Request (29),https://outschool.com/teachers/Shay
"Ms. Mac, B.S. Elementary Education",B.S Elementary Education | Certified College Reading and Learning Association Tutor,4.7,(17),Popular,Classes (4),By Request (2),https://outschool.com/teachers/Ms-Mac-Farlane
Shay Conaty,Experienced Teacher and Tutor!,4.9,(397),Star Educator,Classes (316),By Request (29),https://outschool.com/teachers/Shay
USA's Prestige Worldwide Education,"We are a group of passionate teachers with not only love, but expertise!",4.9,(82),Popular,Classes (58),By Request (78),https://outschool.com/teachers/USAprestigeworldwide
Hamid Akram,Math Teacher,4.8,(29),Nan,Classes (5),By Request (6),https://outschool.com/teachers/Hamid-Akram
"Courtney Daniels, Ed.S.","Middle Math @ Home, Grades 4th-8th",5.0,(13),Star Educator,Classes (20),By Request (41),https://outschool.com/teachers/Mrs-Courtney-Daniels
Wild and Unstructured Learning,"We work hard to instill a love of learning. Growing minds, Freeing spirits!",4.8,(812),Popular,Classes (218),By Request (76),https://outschool.com/teachers/Ms-Tiara
"Miss Jovona Kennedy M.Ed, SWD","Where we make learning fun, engaging and a challenge!",Nan,Nan,Nan,Classes (1),By Request (4),https://outschool.com/teachers/Miss-Jov
StudentScholars,"Develop Skills, Knowledge & Talents!",3.9,(73),Popular,Classes (9),By Request (0),https://outschool.com/teachers/studentscholars
USA's Prestige Worldwide Education,"We are a group of passionate teachers with not only love, but expertise!",4.9,(82),Popular,Classes (58),By Request (78),https://outschool.com/teachers/USAprestigeworldwide
"Neah Maxwell, BS Edu: math, sci, homestead/farming","Lower Elementary Math and Science, with a Focus on Real World Learning through Farming and Homesteading",Nan,Nan,Nan,Classes (1),By Request (0),https://outschool.com/teachers/Neah-Brook-Maxwell
Mrs.Devra,Teacher,4.9,(178),Nan,Classes (126),By Request (34),https://outschool.com/teachers/Devra
"Katherine Jones, M.Ed.",Growing and learning together!,4.9,(40),Nan,Classes (11),By Request (2),https://outschool.com/teachers/Mrs-Jones
Stone Bridges Academy,Learning something new everyday!- Misses Dee,4.9,(276),Popular,Classes (58),By Request (115),https://outschool.com/teachers/Stone-Bridges-Academy
"Nusri Hassam, M.Ed., B.Ed.",Positively Fun & Friendly Teacher,4.7,(254),Nan,Classes (7),By Request (10),https://outschool.com/teachers/Nusri-Hassam
Erika Mandel,"""The Future Belongs to Those Who Believe in the Beauty of Their Dreams""",4.8,(207),Nan,Classes (7),By Request (13),https://outschool.com/teachers/Erika-Mandel
Nan,Nan,Nan,Nan,Nan,Nan,Nan,https://outschool.com/teachers/Ms-Julie
Nan,Nan,Nan,Nan,Nan,Nan,Nan,https://outschool.com/teachers/Shay
"Katherine Jones, M.Ed.",Growing and learning together!,4.9,(40),Nan,Classes (11),By Request (2),https://outschool.com/teachers/Mrs-Jones
"Shannon Drye: Licensed Teacher, M.Ed.",Energetic Math teacher with a Masters degree!,5.0,(137),Nan,Classes (7),By Request (34),https://outschool.com/teachers/Ms-Shannon-20210114
Kelly Cottrell,Licensed Teacher,5.0,(166),Nan,Classes (12),By Request (8),https://outschool.com/teachers/Kelly-Cottrell
StudentScholars,"Develop Skills, Knowledge & Talents!",3.9,(73),Popular,Classes (9),By Request (0),https://outschool.com/teachers/studentscholars
"Sharon Gribble, MEd","Licensed, experienced, energetic science, reading, math & ESL teacher with a passion for creating fun, educational escape rooms.",4.9,(489),Nan,Classes (46),By Request (18),https://outschool.com/teachers/Teacher_Sharon
Shay Conaty,Experienced Teacher and Tutor!,4.9,(397),Star Educator,Classes (316),By Request (29),https://outschool.com/teachers/Shay
USA's Prestige Worldwide Education,"We are a group of passionate teachers with not only love, but expertise!",4.9,(82),Popular,Classes (58),By Request (78),https://outschool.com/teachers/USAprestigeworldwide
Mind over Math - Tutoring and Group Classes,The tools to help your learner succeed!,4.9,(286),Popular,Classes (18),By Request (44),https://outschool.com/teachers/Mind-Over-Math
Learnish,Empowering Young Brains,4.6,(767),Popular,Classes (25),By Request (37),https://outschool.com/teachers/Learnish
Nan,Nan,Nan,Nan,Nan,Nan,Nan,https://outschool.com/teachers/Ms-Julie
Learnish,Empowering Young Brains,4.6,(767),Popular,Classes (25),By Request (37),https://outschool.com/teachers/Learnish
"Teacher Heidi - BSc., PGCE",UK Primary School Teacher,5.0,(19),Nan,Classes (3),By Request (2),https://outschool.com/teachers/Heidi-Evans
Fabiola Woerner M.A. TESOL The Bilingual Educator,The Bilingual Educator - Providing Classes to Support Your Learner's Journey to Become Bilingual!,5.0,(107),Nan,Classes (21),By Request (27),https://outschool.com/teachers/Fabiola-Woerner
Mind over Math - Tutoring and Group Classes,The tools to help your learner succeed!,4.9,(286),Popular,Classes (18),By Request (44),https://outschool.com/teachers/Mind-Over-Math
Megan McAra (M. Ed) Math Class Can Be Fun!,Cultivating the language of math inside us all!,5.0,(86),Nan,Classes (5),By Request (32),https://outschool.com/teachers/Megan-Mc
"Sharon Gribble, MEd","Licensed, experienced, energetic science, reading, math & ESL teacher with a passion for creating fun, educational escape rooms.",4.9,(489),Nan,Classes (46),By Request (18),https://outschool.com/teachers/Teacher_Sharon
"Ms. Mac, B.S. Elementary Education",B.S Elementary Education | Certified College Reading and Learning Association Tutor,4.7,(17),Popular,Classes (4),By Request (2),https://outschool.com/teachers/Ms-Mac-Farlane
Mrs. Kennedy (M.Ed.),Critical Thinking & Algebra for Struggling Learners,5.0,(104),Star Educator,Classes (4),By Request (26),https://outschool.com/teachers/Mary-Kennedy
Ms. Julie-(B.S./MA RDG/MATH/ESL/ACE),"Passionate Elementary, Middle and High School Teacher",4.8,(671),Rising Star,Classes (62),By Request (171),https://outschool.com/teachers/Ms-Julie
Professor Kitty BS ChemE-UVa; MBA-Case Western,"High energy STEM, math, & business teaching! Goto bit.ly/kittymath2023 to get links to all of my Outschool listing! ""My Freshman daughter came downstairs after class and told me she was glad she was taking this class."" -personal testimonies always make the best headlines!",5.0,(369),Popular,Classes (17),By Request (42),https://outschool.com/teachers/Professor-Kitty
Mrs. Mary,Middle/High School Mathematics Teacher,5.0,(36),Popular,Classes (8),By Request (29),https://outschool.com/teachers/Mary-Goll
Ms. Julie-(B.S./MA RDG/MATH/ESL/ACE),"Passionate Elementary, Middle and High School Teacher",4.8,(671),Rising Star,Classes (62),By Request (171),https://outschool.com/teachers/Ms-Julie
Shay Conaty,Experienced Teacher and Tutor!,4.9,(397),Star Educator,Classes (316),By Request (29),https://outschool.com/teachers/Shay
"Einsteins Square: Chess, Coding, Math, Art, Games","Subject experts in Core subjects and Life Skills Subjects - Chess, Coding, Roblox, Games, Escape Rooms, Arts, Yoga, Math, Hindi",4.8,"(4,766)",Popular,Classes (95),By Request (67),https://outschool.com/teachers/EinsteinsSquare
"Jamie Jones, MSA",Teacher Jamie,4.9,"(2,072)",Star Educator,Classes (16),By Request (27),https://outschool.com/teachers/Jamie-Guthrie-Jones
Nan,Nan,Nan,Nan,Nan,Nan,Nan,https://outschool.com/teachers/Ms-Julie
Kristen LeGeyt M.Ed. Secondary Mathematics,State Certified Secondary Mathematics Teacher grades 7-12,5.0,(210),Popular,Classes (13),By Request (15),https://outschool.com/teachers/Kristen-Le-Geyt-M-Ed
StudentScholars,"Develop Skills, Knowledge & Talents!",3.9,(73),Popular,Classes (9),By Request (0),https://outschool.com/teachers/studentscholars
"Mary Bailey, B. Ed.",Former Classroom & Home School Teacher,5.0,(2),New on Outschool,Classes (21),By Request (6),https://outschool.com/teachers/Mary-202008
"Trammell Classes Dragon Academy, DnD, Coding , RPG",Group of Dedicated Teachers Inspiring Learning Through Student Interests,4.8,(630),Popular,Classes (53),By Request (55),https://outschool.com/teachers/Trammell-Classes
Stone Bridges Academy,Learning something new everyday!- Misses Dee,4.9,(276),Popular,Classes (58),By Request (115),https://outschool.com/teachers/Stone-Bridges-Academy
"Teacher Shaniqua H, MSW","Experienced, patient, and encouraging, online/virtual teacher since 2012. Let me know if you need a different time or class!!!!!!!",5.0,(239),Nan,Classes (14),By Request (28),https://outschool.com/teachers/Shaniqua-Holmes
StudentScholars,"Develop Skills, Knowledge & Talents!",3.9,(73),Popular,Classes (9),By Request (0),https://outschool.com/teachers/studentscholars
Shay Conaty,Experienced Teacher and Tutor!,4.9,(397),Star Educator,Classes (316),By Request (29),https://outschool.com/teachers/Shay
Mr. Mike (MS SpEd),Early Childhood Educator and Children's Entertainer,5.0,(19),Nan,Classes (2),By Request (14),https://outschool.com/teachers/mikecohen
Tricha Louis,"Physics and Mathematics Instructor. Licensed with a E.I., TEFL certified & Traveler",5.0,(16),Star Educator,Classes (6),By Request (5),https://outschool.com/teachers/Miss-Louis
Ms. Julie-(B.S./MA RDG/MATH/ESL/ACE),"Passionate Elementary, Middle and High School Teacher",4.8,(671),Rising Star,Classes (62),By Request (171),https://outschool.com/teachers/Ms-Julie
"Einsteins Square: Chess, Coding, Math, Art, Games","Subject experts in Core subjects and Life Skills Subjects - Chess, Coding, Roblox, Games, Escape Rooms, Arts, Yoga, Math, Hindi",4.8,"(4,766)",Popular,Classes (95),By Request (67),https://outschool.com/teachers/EinsteinsSquare
"Courtney Daniels, Ed.S.","Middle Math @ Home, Grades 4th-8th",5.0,(13),Star Educator,Classes (20),By Request (41),https://outschool.com/teachers/Mrs-Courtney-Daniels
Professor Kitty BS ChemE-UVa; MBA-Case Western,"High energy STEM, math, & business teaching! Goto bit.ly/kittymath2023 to get links to all of my Outschool listing! ""My Freshman daughter came downstairs after class and told me she was glad she was taking this class."" -personal testimonies always make the best headlines!",5.0,(369),Popular,Classes (17),By Request (42),https://outschool.com/teachers/Professor-Kitty
Ms. Julie-(B.S./MA RDG/MATH/ESL/ACE),"Passionate Elementary, Middle and High School Teacher",4.8,(671),Rising Star,Classes (62),By Request (171),https://outschool.com/teachers/Ms-Julie
Teacher Rusty,"Excellence is not a skill, it’s an attitude.",4.8,(116),Nan,Classes (1),By Request (3),https://outschool.com/teachers/Rusty-Thompson
Kristen LeGeyt M.Ed. Secondary Mathematics,State Certified Secondary Mathematics Teacher grades 7-12,5.0,(210),Popular,Classes (13),By Request (15),https://outschool.com/teachers/Kristen-Le-Geyt-M-Ed
Nan,Nan,Nan,Nan,Nan,Nan,Nan,https://outschool.com/teachers/Ms-Julie
Ms. Julie-(B.S./MA RDG/MATH/ESL/ACE),"Passionate Elementary, Middle and High School Teacher",4.8,(671),Rising Star,Classes (62),By Request (171),https://outschool.com/teachers/Ms-Julie
